id,indexs,stock,spread,,,,,,,,,,,,
298,10854,2.77,3918.411552,,,,,,,,,,,,
299,10866,2.78,3908.633094,,,,,,,,,,,,
300,10869,2.78,3909.71223,,,,,,,,,,,,
301,10869,2.78,3909.71223,,,,,,,,,,,,
302,10869,2.78,3909.71223,,,,,,,,,,,,
303,10859,2.78,3906.115108,,,,,,,,,,,,
304,10851.5,2.78,3903.417266,,,,,,,,,,,,
305,10854,2.79,3890.322581,,,,,,,,,,,,
306,10854,2.79,3890.322581,,,,,,,,,,,,
307,10851,2.79,3889.247312,,,,,,,,,,,,
308,10851,2.79,3889.247312,,,,,,,,,,,,
309,10849,2.79,3888.530466,,,,,,,,,,,,
310,10849,2.78,3902.517986,,,,,,,,,,,,
311,10849,2.78,3902.517986,,,,,,,,,,,,
312,10849,2.78,3902.517986,,,,,,,,,,,,
313,10849,2.78,3902.517986,,,,,,,,,,,,
314,10849,2.78,3902.517986,,,,,,,,,,,,
315,10849,2.78,3902.517986,,,,,,,,,,,,
316,10849,2.78,3902.517986,,,,,,,,,,,,
317,10849,2.78,3902.517986,,,,,,,,,,,,
318,10849,2.78,3902.517986,,,,,,,,,,,,
319,10849,2.78,3902.517986,,,,,,,,,,,,
320,10851.5,2.78,3903.417266,,,,,,,,,,,,
321,10851.5,2.78,3903.417266,,,,,,,,,,,,
322,10846,2.78,3901.438849,,,,,,,,,,,,
323,10846,2.78,3901.438849,,,,,,,,,,,,
324,10849,2.78,3902.517986,,,,,,,,,,,,
325,10846,2.78,3901.438849,,,,,,,,,,,,
326,10846,2.78,3901.438849,,,,,,,,,,,,
327,10844,2.78,3900.719424,,,,,,,,,,,,
328,10849,2.78,3902.517986,,,,,,,,,,,,
329,10854,2.78,3904.316547,,,,,,,,,,,,
330,10854,2.78,3904.316547,,,,,,,,,,,,
331,10850,2.78,3902.877698,,,,,,,,,,,,
332,10850,2.78,3902.877698,,,,,,,,,,,,
333,10846,2.78,3901.438849,,,,,,,,,,,,
334,10849,2.78,3902.517986,,,,,,,,,,,,
335,10842.5,2.78,3900.179856,,,,,,,,,,,,
336,10851,2.78,3903.23741,,,,,,,,,,,,
337,10846.5,2.78,3901.618705,,,,,,,,,,,,
338,10838,2.78,3898.561151,,,,,,,,,,,,
339,10838,2.78,3898.561151,,,,,,,,,,,,
340,10837.5,2.78,3898.381295,,,,,,,,,,,,
341,10837.5,2.78,3898.381295,,,,,,,,,,,,
342,10836.5,2.78,3898.021583,,,,,,,,,,,,
343,10836.5,2.78,3898.021583,,,,,,,,,,,,
344,10836.5,2.78,3898.021583,,,,,,,,,,,,
345,10836.5,2.78,3898.021583,,,,,,,,,,,,
346,10836.5,2.78,3898.021583,,,,,,,,,,,,
347,10836,2.78,3897.841727,,,,,,,,,,,,
348,10831,2.78,3896.043165,,,,,,,,,,,,
349,10836,2.78,3897.841727,,,,,,,,,,,,
350,10836,2.77,3911.913357,,,,,,,,,,,,
351,10836,2.77,3911.913357,,,,,,,,,,,,
352,10839,2.77,3912.99639,,,,,,,,,,,,
353,10834,2.77,3911.191336,,,,,,,,,,,,
354,10836,2.78,3897.841727,,,,,,,,,,,,
355,10839,2.78,3898.920863,,,,,,,,,,,,
356,10851.5,2.78,3903.417266,,,,,,,,,,,,
357,10841,2.78,3899.640288,,,,,,,,,,,,
358,10841,2.78,3899.640288,,,,,,,,,,,,
359,10839,2.78,3898.920863,,,,,,,,,,,,
360,10841.5,2.78,3899.820144,,,,,,,,,,,,
361,10839,2.78,3898.920863,,,,,,,,,,,,
362,10831.5,2.78,3896.223022,,,,,,,,,,,,
363,10831.5,2.78,3896.223022,,,,,,,,,,,,
364,10840,2.78,3899.280576,,,,,,,,,,,,
365,10840,2.78,3899.280576,,,,,,,,,,,,
366,10846.5,2.78,3901.618705,,,,,,,,,,,,
367,10846.5,2.78,3901.618705,,,,,,,,,,,,
368,10841.5,2.78,3899.820144,,,,,,,,,,,,
369,10841.5,2.78,3899.820144,,,,,,,,,,,,
370,10841.5,2.78,3899.820144,,,,,,,,,,,,
371,10841.5,2.78,3899.820144,,,,,,,,,,,,
372,10841,2.78,3899.640288,,,,,,,,,,,,
373,10841,2.78,3899.640288,,,,,,,,,,,,
374,10836.5,2.78,3898.021583,,,,,,,,,,,,
375,10836.5,2.78,3898.021583,,,,,,,,,,,,
376,10841.5,2.78,3899.820144,,,,,,,,,,,,
377,10851,2.78,3903.23741,,,,,,,,,,,,
378,10849,2.78,3902.517986,,,,,,,,,,,,
379,10849,2.78,3902.517986,,,,,,,,,,,,
380,10854,2.78,3904.316547,,,,,,,,,,,,
381,10854,2.78,3904.316547,,,,,,,,,,,,
382,10851,2.78,3903.23741,,,,,,,,,,,,
